                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.5687,                 3.2248,                 1.2711,                      0,                      0,                      0,                      0,                      0,                 35.999,                      0,             5.8176e-05,             5.8176e-05,             5.8176e-05
                     39,                 1.5433,                 3.3352,                 1.3702,                      0,                      0,                      0,                      0,                      0,                 36.105,                      0,             5.5324e-05,             5.5324e-05,             5.5324e-05
                     40,                  1.488,                 3.2402,                  1.299,                      0,                      0,                      0,                      0,                      0,                 36.105,                      0,             5.2239e-05,             5.2239e-05,             5.2239e-05
                     41,                 1.5791,                 2.9546,                 1.3182,                      0,                      0,                      0,                      0,                      0,                 36.236,                      0,             4.8922e-05,             4.8922e-05,             4.8922e-05
                     42,                 1.6377,                 3.0412,                 1.3277,                      0,                      0,                      0,                      0,                      0,                 36.236,                      0,             4.5371e-05,             4.5371e-05,             4.5371e-05
                     43,                 1.5423,                 2.9278,                 1.3151,                      0,                      0,                      0,                      0,                      0,                 36.434,                      0,             4.1588e-05,             4.1588e-05,             4.1588e-05
                     44,                 1.6875,                 2.9397,                 1.3608,                      0,                      0,                      0,                      0,                      0,                 36.434,                      0,             3.7572e-05,             3.7572e-05,             3.7572e-05
                     45,                 1.6833,                 3.0006,                  1.359,                      0,                      0,                      0,                      0,                      0,                 36.636,                      0,             3.3323e-05,             3.3323e-05,             3.3323e-05
                     46,                 1.5626,                 2.9399,                 1.3037,                      0,                      0,                      0,                      0,                      0,                 36.636,                      0,             2.8841e-05,             2.8841e-05,             2.8841e-05
                     47,                 1.4897,                 2.8211,                 1.2698,                      0,                      0,                      0,                      0,                      0,                 36.827,                      0,             2.4127e-05,             2.4127e-05,             2.4127e-05
                     48,                 1.4725,                  2.971,                 1.3637,                      0,                      0,                      0,                      0,                      0,                 36.827,                      0,             1.9179e-05,             1.9179e-05,             1.9179e-05
                     49,                 1.5195,                 2.8751,                 1.3115,                      0,                      0,                      0,                      0,                      0,                 36.954,                      0,             1.3999e-05,             1.3999e-05,             1.3999e-05
                     50,                 1.5577,                 2.8595,                 1.2432,                      0,                      0,                      0,                      0,                      0,                 36.954,                      0,              8.586e-06,              8.586e-06,              8.586e-06
